Country,Year,key,Diagnostic_Exams,ExpenditurePerCapita,Hospitals,Life_Expectancy_at_Birth,PercPopulationabove65,Physicians,Private_Insurance,Public_Insurance,death_by_cancer,death_by_circular,death_by_accident,Mean_Schooling_Years,NationalIncome,hospital_employment,tot_equipment,medical_grads,nurse_grads,death_by_respirat
Portugal,2013,Portugal2013,91.3,2417.038,16.07,80.8,19.615,3.08,21,100,6.381630181,5.273526838,0.323534519,8.6,17514.63993,11.49610734,67,13.64,25.49,2.025881045
Portugal,2014,Portugal2014,94.1,2450.887,16.25,81.2,20.07,3.13,22.3,100,6.480775802,5.386724714,0.372004222,8.9,17837.50019,11.3491497,68,14.94,25.71,1.966568338
Portugal,2015,Portugal2015,104.2,2540.072,16.32,81.2,20.496,3.12,25.7,100,6.635680111,5.387080376,0.406850354,9.1,15402.14771,11.78593715,69,15.85,26.22,2.179700047
Slovak Republic,2010,Slovak Republic2010,124,2010.418,14.1,75.6,12.354,3.36,0,94.8,5.707543582,10.16564603,0.527232622,12.1,12941.0027,7.69,64.34,11.78,45.87,1.142584701
Slovak Republic,2011,Slovak Republic2011,134.5,1974.761,14.08,76.1,12.681,3.31,0,95.2,6.033504295,8.374963594,0.674275145,12.2,13890.81192,7.44,67,12.67,46.2,1.142584701
Slovak Republic,2012,Slovak Republic2012,149.5,2097.401,13.68,76.2,12.953,3.36,0,95,6.033504295,8.374963594,0.674275145,11.7,13424.10919,7.44,68,13.59,44.68,1.073585179
Slovak Republic,2013,Slovak Republic2013,170.3,2153.698,13.67,76.5,13.338,3.39,0,94.6,6.285535174,8.538976232,0.727429181,11.7,14230.30025,7.52,65,15.94,42.88,1.063606437
Slovak Republic,2014,Slovak Republic2014,187.9,2010.11,13.47,76.9,13.749,3.43,0,94.2,6.329823268,8.071715594,0.568506092,11.9,14531.5143,7.61,69,13.51,35.3,0.957911531
Slovak Republic,2015,Slovak Republic2015,214.6,2059.654,13.46,76.7,14.204,3.45,0,93.8,6.329823268,8.071715594,0.568506092,11.9,12511.69478,7.62,70,15.63,34.16,0.957911531
Slovenia,2010,Slovenia2010,72.8,2318.485,5.86,79.8,16.55,2.51,73.2,100,7.358659799,5.981017853,0.823165489,12.1,18452.07314,10.06,53.8,11.18,81.28,1.001477301
Slovenia,2011,Slovenia2011,82.8,2376.637,5.85,80.1,16.62,2.57,72.9,100,7.309082236,5.864337385,0.845287922,12.2,19626.6507,10.11,55,10.03,81.79,1.077949399
Slovenia,2012,Slovenia2012,85.8,2431.003,5.83,80.2,16.95,2.64,72.8,100,7.23280415,6.029688212,0.800779958,11.7,17391.05935,10.27,56,12.93,78.46,1.240089983
Slovenia,2013,Slovenia2013,91.3,2495.279,5.83,80.4,17.28,2.73,73.2,100,7.483409194,5.974293054,0.782000961,11.7,18064.11477,9.98,55,11.89,77.57,1.199230045
Slovenia,2014,Slovenia2014,94.1,2499.108,5.82,81.2,17.67,2.79,77,100,7.3175051,6.091451832,0.667609536,11.9,18954.98823,10.44,56,14.65,78.13,1.030040003
Slovenia,2015,Slovenia2015,104.2,2574.155,5.82,80.9,18.15,2.88,87.1,100,7.658247668,6.399324438,0.732473239,11.9,15925.29139,10.77,57,17.35,77.49,1.163910156
Spain,2010,Spain2010,147.3,2724.801,11.79,82.4,16.95,4.01,12.8,98,5.85030716,4.372354978,0.33106301,9.4,25097.78781,11.71,63.25,9.23,21.68,1.356476366
Spain,2011,Spain2011,153.3,2724.201,11.83,82.6,17.22,4.09,13.3,99,5.939121148,4.28868909,0.332139246,9.5,25696.5583,11.56,64,8.98,24.93,1.413048924
Spain,2012,Spain2012,157,2726.366,11.8,82.5,17.49,4.08,14.5,99,6.015457359,4.357918869,0.322716249,9.5,23291.93435,11.33,66,9.53,17.52,1.563814292
Spain,2013,Spain2013,167.9,2764.268,11.93,83.2,17.91,4.1,15,99,6.035496146,4.17938837,0.335345765,9.5,23746.4106,11.3,67,10.23,18.84,1.410335455
Spain,2014,Spain2014,181.3,2852.743,11.98,83.3,18.31,4.1,15.6,99.1,6.012250679,4.159252931,0.346339247,9.7,24176.80532,11.58,68,11.99,25.17,1.456800613
Spain,2015,Spain2015,186,3024.647,12.01,82.9,18.59,4.16,16.2,99,6.076009539,4.356574706,0.358130372,9.7,21307.19485,11.76,69,13.03,23.18,1.697841519
Sweden,2010,Sweden2010,171.9,3446.016,15.46,81.6,18.277,4.09,33.9,100,5.889184537,7.069398145,0.487865875,12.3,44707.62471,14.18937555,101.08,10.33,67.57,0.990827008
Sweden,2011,Sweden2011,179.3,4484.426,15.17,81.9,18.636,4.17,34.2,100,5.897677995,6.756999311,0.490889027,12.4,50888.76539,14.29633752,102,10.7,71.64,1.122714822
Sweden,2012,Sweden2012,180.3,4693.916,14.51,81.8,18.977,4.27,34.5,100,5.949684984,6.658648688,0.492045908,12.4,48819.84993,14.50972207,103,11.88,71.68,1.203118681
Sweden,2013,Sweden2013,187.2,4750.497,13.97,82,19.273,4.35,35.2,100,5.934662517,6.268697232,0.497284764,12.2,51587.76632,14.59990547,104,10.28,74.81,1.17424923
Sweden,2014,Sweden2014,192,4882.123,13.19,82.3,19.519,4.43,35.7,100,5.929788124,5.953842377,0.514367025,12.3,50568.00608,14.73705685,103,11.25,75.84,1.056935588
Sweden,2015,Sweden2015,203.9,5027.333,12.8,82.3,19.696,4.5,36.2,100,5.880364468,5.712934432,0.54373725,12.4,43167.11113,14.80607083,104,12.41,76.8,1.205660407
Switzerland,2010,Switzerland2010,279.8,5296.132,15.46,82.6,16.922,3.87,26.8,100,5.354358945,4.707027121,0.574763872,13.3,63531.5183,22.41,101.08,10.39,76.46,0.87081543
Switzerland,2011,Switzerland2011,288.5,5477.136,15.17,82.8,17.029,3.9,27.3,100,5.363568143,4.406151153,0.574704319,13.3,71212.45819,22.98,102,9.4,78.11,0.867710766
Switzerland,2012,Switzerland2012,293,5795.883,14.51,82.8,17.28,3.98,27.9,100,5.308333654,4.487808533,0.573625881,13.4,68125.90071,23.18,103,9.78,71.27,0.898969686
