Country,Year,key,Diagnostic_Exams,ExpenditurePerCapita,Hospitals,Life_Expectancy_at_Birth,PercPopulationabove65,Physicians,Private_Insurance,Public_Insurance,death_by_cancer,death_by_circular,death_by_accident,Mean_Schooling_Years,NationalIncome,hospital_employment,tot_equipment,medical_grads,nurse_grads,death_by_respirat
Czech Republic,2013,Czech Republic2013,144.2,2448.529,14.84,78.3,17.09,3.35,0,100,6.614128303,9.164212103,0.519107561,13.3,14326.04027,13.32971984,60,12.73,14.88,1.220791879
Czech Republic,2014,Czech Republic2014,147.6,2564.609,14.73,78.9,17.605,3.31,0.2,100,6.607423087,8.518686327,0.528422621,12.5,14117.66463,13.35097089,61,13.99,15.16,1.106500797
Czech Republic,2015,Czech Republic2015,153.1,2545.511,14.7,78.7,18.076,3.3,0,100,6.555532096,8.74887019,0.55360104,12.51,12752.36057,13.71638148,62,13.56,15.79,1.328205992
Denmark,2010,Denmark2010,176.9,4160.049,24.98,79.3,16.58,3.98,21.6,100,7.139091317,4.643941592,0.417725283,12.5,47972.22347,20.50491388,94.78,16.46,40.16,2.007321756
Denmark,2011,Denmark2011,194.3,4169.775,25.61,79.9,17.119,4.04,24.1,100,7.047225601,4.124534135,0.427829375,12.7,51243.68428,20.93499693,95,17.05,40.23,1.966144831
Denmark,2012,Denmark2012,202.4,4315.127,24.57,80.1,17.653,4.09,27.1,100,7.179622816,4.083672549,0.394228777,12.8,48824.98488,20.50491388,96,15.49,36.27,1.956091516
Denmark,2013,Denmark2013,208.5,4455.751,24.09,80.4,18.071,4.13,28.8,100,7.006533363,3.905488639,0.409986171,12.8,51808.66797,20.93499693,97,15.12,41.91,2.054928509
Denmark,2014,Denmark2014,232.4,4536.239,23.44,80.8,18.453,4.15,31.7,100,7.01552361,3.694354332,0.392199722,12.8,53772.46741,21.08886514,97,14.48,44.8,1.856329085
Denmark,2015,Denmark2015,251.7,4674.496,24.27,80.8,18.736,4.2,32,100,7.010070295,3.73852747,0.370513356,12.5,45663.93317,20.87666958,99,17.05,43.51,1.962466308
Estonia,2010,Estonia2010,193.2,1362.93,18.03,75.9,17.442,3.39,19,94.5,6.826721868,11.29761717,0.873778398,12.5,11363.22057,11.54772022,47.88,11.19,28.46,0.600019501
Estonia,2011,Estonia2011,195.2,1403.665,17.33,76.4,17.577,3.39,19,94,7.022847946,10.40190725,0.939337876,12.5,13769.5831,11.54772022,48,9.42,29.15,0.589624415
Estonia,2012,Estonia2012,198.2,1515.085,16.63,76.5,17.868,3.38,19,93.7,7.053184497,10.48130231,1.009645967,12.5,13933.11167,11.54772022,50,10.28,34.4,0.645931949
Estonia,2013,Estonia2013,199.2,1636.092,16.69,77.3,18.203,3.35,19,93.6,7.204353366,10.25470885,0.837010879,12.6,15517.39835,11.54772022,53,9.71,35.43,0.750658625
Estonia,2014,Estonia2014,201.2,1752.164,15.98,77.2,18.567,3.31,19,93.9,7.447832871,9.922337343,0.816981667,12.6,16405.54702,11.68701774,51,10.57,34.31,0.797982093
Estonia,2015,Estonia2015,203.2,1868.235,15.96,77.7,18.891,3.3,19,94,7.433434484,9.497516865,0.752165613,12.9,14215.92618,12.06887373,55,10.11,32.61,0.77650262
Finland,2010,Finland2010,46,3308.215,24.98,80.2,17.26,3.27,16.1,100,5.512361469,7.664871445,0.953203697,12.3,37972.25819,17.92902983,99.26,11.24,62.8,0.668980442
Finland,2011,Finland2011,47.1,3474.837,25.61,80.6,17.823,3.26,16.4,100,5.48660199,7.432734617,0.939672679,12.3,41496.64912,17.92902983,101,11.53,63.66,0.684057898
Finland,2012,Finland2012,57.2,3651.171,24.57,80.7,18.451,3.29,17.1,100,5.537589606,7.428257111,0.878497582,12.4,38463.64398,17.92902983,98,14.59,66.38,0.667250851
Finland,2013,Finland2013,62.1,3794.525,24.09,81.1,19.073,3.3,17.8,100,5.592744285,7.068602241,0.846743327,12.3,40209.10777,17.92902983,99,11.47,68.89,0.62542913
Finland,2014,Finland2014,63.7,3812.836,23.44,81.3,19.664,3.39,18.3,100,5.578516566,6.964982472,0.813204996,12.4,40680.14281,17.70926775,99,11.65,64.84,0.599676773
Finland,2015,Finland2015,73.9,3990.642,24.27,81.6,20.207,3.33,20.2,100,5.677156845,6.802938656,0.79243343,12.4,34793.88528,17.70926775,99,11.41,67.65,0.636724647
France,2010,France2010,205.8,4048.235,29.19,81.8,16.674,3.27,95.8,99.9,6.085910335,3.524204016,0.576208772,10.9,34311.51773,19.80160167,57.93,5.77,36.85,0.791507972
France,2011,France2011,222.1,4168.429,28.8,82.3,16.939,3.31,95.4,99.9,6.064662307,3.405699537,0.569001658,10.9,37180.50512,19.80160167,58,6.73,37.98,0.827640175
France,2012,France2012,254.1,4306.314,28.36,82.1,17.354,3.32,95,99.9,6.092744819,3.433997555,0.564961772,11,34367.52343,19.80160167,59,7.21,42.72,0.927601081
France,2013,France2013,278.4,4557.343,30.93,82.3,17.792,3.33,95.2,99.9,6.025272731,3.336582808,0.550728769,11.2,35808.93088,19.80160167,60,7.66,41.35,0.902129333
France,2014,France2014,278.7,4641.508,29.84,82.8,18.186,3.33,95.5,99.9,6.106718286,3.23415447,0.547154293,11.4,36130.04873,19.66268768,61,8.09,40.9,0.833449455
France,2015,France2015,297.4,4675.804,29.32,82.4,18.634,3.34,95,99.9,6.182401729,3.327763262,0.599384699,11.5,30857.68707,19.57284308,62,9.05,41.14,1.022131927
Germany,2010,Germany2010,227.5,4411.936,21.5,80.5,20.633,4.06,31.6,88.9,6.869089199,7.413878568,0.399194365,13.8,35069.50969,15.9580256,95.87,12.1,45.07,1.337567006
Germany,2011,Germany2011,239.6,4558.247,21.63,80.5,20.666,4.24,32.5,88.8,7.111011166,7.275878525,0.422901106,13.8,39671.91268,15.9580256,96,11.92,46.04,1.355412629
Germany,2012,Germany2012,248.1,4734.286,21.04,80.6,20.714,4.32,33,88.8,7.103061327,7.366531429,0.429340242,13.9,37241.18439,15.9580256,97,11.92,52.63,1.362266411
Germany,2013,Germany2013,261.1,4947.77,20.68,80.6,20.812,4.41,33,89,7.153455081,7.406448776,0.443993254,13.9,39257.73989,15.9580256,98,12.15,55.31,1.463630368
Germany,2014,Germany2014,276.7,5142.385,20.33,81.2,20.956,4.49,33.8,89.1,7.130074149,6.9899187,0.458885282,14,40589.06727,16.08320915,99,11.85,53.81,1.310267725
Germany,2015,Germany2015,283.3,5291.281,19.82,80.7,21.049,4.53,33.9,89.2,7.168838139,7.300418484,0.493290825,14.1,34943.00595,16.19507252,99,11.28,54.47,1.528272957
Greece,2010,Greece2010,194.7,2617.679,16.81,80.7,19.134,3.39,12.8,82,6.17782306,7.304333937,0.453356325,10.3,21801.27771,9.177438505,143.42,9.33,23.46,1.528259811
Greece,2011,Greece2011,220,2307.347,17.11,80.8,19.479,3.39,12.4,83,6.242700068,7.353692111,0.419206659,10.3,20538.34572,9.177438505,144,9.87,23.94,1.797013046
Greece,2012,Greece2012,249,2167.653,16.93,80.7,19.865,3.38,12.5,84,6.464944546,7.629974944,0.400490475,10.3,18023.4111,9.177438505,145,9.21,24.35,1.528259811
Greece,2013,Greece2013,194.7,2091.001,16.23,81.4,20.274,3.35,12.5,84,6.668899266,7.207176914,0.388690444,10.4,17633.10925,9.177438505,146,9.32,23.79,1.797013046
Greece,2014,Greece2014,227,2042.262,16.16,81.5,20.691,3.31,11.5,85,6.935969492,7.1292556,0.368817716,10.5,18024.08806,8.868922092,147,8.91,24.62,1.528259811
Greece,2015,Greece2015,207.3,2100.338,15.9,81.1,21.079,3.3,12,86,7.135095926,7.302713994,0.4860003,10.6,15026.319,8.717889397,148,10.74,18.1,1.797013046
Hungary,2010,Hungary2010,109,1665.516,14.9,74.7,16.673,3.39,0,97,8.543861772,12.09727187,0.733848835,12.2,10096.54244,10.58379436,43.18,10.4,28.63,1.157641794
Hungary,2011,Hungary2011,114.6,1755.527,14.64,75,16.804,3.39,0,96,8.628319515,11.81026269,0.681673293,11.7,10845.92469,10.58379436,44,11.51,25.51,1.227152128
Hungary,2012,Hungary2012,120.3,1766.535,14.4,75.2,17.024,3.38,0,96,8.846019276,11.80325063,0.656569598,11.8,9978.243936,10.58379436,45,13.85,26.17,1.275180793
Hungary,2013,Hungary2013,123.3,1821.58,14.2,75.7,17.353,3.35,0,96,8.713771337,11.54832302,0.637009655,12,10877.88343,10.58379436,45,14.2,34,1.322259269
Hungary,2014,Hungary2014,134,1863.754,13.8,75.9,17.717,3.31,0,95,8.761142268,11.46935443,0.642884008,11.8,11135.19449,10.58379436,46,13.65,40.54,1.310065994
Hungary,2015,Hungary2015,144.1,1891.727,13.7,75.7,18.088,3.3,0,95,8.779704393,11.87429932,0.664598733,11.8,9873.288292,10.60902509,47,13.4,43.87,1.617257894
Iceland,2010,Iceland2010,234,3313.144,28.3,82,12.144,3.59,0.2,99.8,4.65931315,4.40134748,0.402984605,10.6,9873.288292,19.51969933,93.71,13.83,77.98,0.869905343
Iceland,2011,Iceland2011,253.7,3318.185,25.08,82.4,12.459,3.5,0.2,99.8,4.65931315,4.20471531,0.405084597,11,32128.8055,19.51969933,94,13.79,65.2,1.037727935
Iceland,2012,Iceland2012,256.3,3398.479,24.94,83,12.784,3.56,0.2,99.8,4.65931315,3.898928264,0.378627865,11.5,32308.96488,19.51969933,95,15.28,69.84,0.869905343
Iceland,2013,Iceland2013,247.6,3497.722,24.71,82.1,13.083,3.61,0.2,99.8,4.632492069,4.067023554,0.419440932,11.9,39150.32601,19.51969933,95,12.35,72.89,1.037727935
Iceland,2014,Iceland2014,261,3599.475,24.44,82.9,13.376,3.64,0.2,99.8,4.88222777,3.807523544,0.353117103,12.2,43220.20479,19.51969933,95,16.19,82.17,0.9119633
Iceland,2015,Iceland2015,272.8,3735.245,24.18,82.5,13.695,3.78,0.3,99.7,4.667274385,4.050440596,0.388939532,12.2,42343.9413,19.77210574,96,12.7,72.25,0.948040109
Ireland,2010,Ireland2010,171.9,4049.297,12.28,80.8,11.308,3.08,49.8,100,4.46429749,3.980720214,0.351252949,11.1,33811.35879,12.52377222,63.16,17.21,35.99,1.217515696
Ireland,2011,Ireland2011,179.3,4206.865,12.23,80.8,11.619,3.23,47.3,100,4.840423542,3.951317044,0.387890212,10.9,34894.67632,12.33022693,63,16.11,37.55,1.301499645
Ireland,2012,Ireland2012,180.3,4373.285,11.96,80.9,11.974,3.15,45.7,100,4.75585859,4.016745956,0.345369553,11.3,32476.6804,12.05350635,64,16.98,33,1.336808964
Ireland,2013,Ireland2013,183,4302.337,11.85,81,12.334,3.04,44.4,100,4.846002379,3.944657651,0.336241716,11.8,35990.78919,11.92009422,64,20.13,33.05,1.322189198
Ireland,2014,Ireland2014,186.5,4251.482,11,81.4,12.69,3.01,43.6,100,4.966307679,3.629481924,0.352318271,12.3,38773.82086,12.18171688,65,21.66,31.35,1.298230301
Ireland,2015,Ireland2015,190.2,4301.85,10.3,81.5,13.018,3.12,45.3,100,4.833647488,3.792521293,0.304855432,12.3,34295.07959,12.71820092,66,23.54,28.75,1.43491561
Israel,2010,Israel2010,148.7,1975.257,6.03,81.7,9.87,3.39,80.6,100,3.500162182,2.360601694,0.222220143,12.6,25867.4727,11.33449547,38.76,4.12,11.12,0.630923271
Israel,2011,Israel2011,150.1,2081.778,5.92,81.7,10.095,3.39,80,100,3.402244241,2.379605829,0.21705864,12.7,28698.98273,10.79921547,39,4.85,11.32,0.675676365
Israel,2012,Israel2012,171.4,2223.345,5.69,81.8,10.292,3.38,80.3,100,3.44319055,2.251124216,0.190620399,12.8,27322.64199,11.33449547,39,3.84,14.04,0.694599694
Israel,2013,Israel2013,176.9,2238.455,5.58,82.1,10.562,3.35,82.9,100,3.45859505,2.202028541,0.19750876,12.8,30818.04975,10.79921547,39,5.06,15.77,0.661535363
Israel,2014,Israel2014,178.5,2237.462,5.36,82.2,10.746,3.31,83.9,100,3.460709131,2.154660543,0.179483334,12.9,32497.68938,11.33449547,39,6.29,22.07,0.703673016
Israel,2015,Israel2015,171.8,2309.13,5.25,82.1,10.972,3.3,83.4,100,3.449119966,2.172860005,0.1985079,12.9,30877.04235,10.79921547,39,5.47,19,0.752208747
Italy,2010,Italy2010,166.5,3103.169,18.15,82.1,20.459,4.11,16.1,100,7.410625786,6.486130638,0.460904445,9.7,29459.5333,10.36941978,113.63,11.36,16.49,1.144193891
Italy,2011,Italy2011,167.3,3098.256,17.25,82.3,20.665,4.08,16.4,100,7.436575513,6.516348355,0.462480306,9.8,31385.78409,10.28357112,115,11.28,19.18,1.181645183
Italy,2012,Italy2012,168.5,3110.555,16.83,82.3,21.003,4.07,17.1,100,7.482581593,6.637095096,0.459825989,9.9,28361.44912,10.36941978,116,11.14,20.41,1.261234113
Italy,2013,Italy2013,169.1,3088.556,16.27,82.8,21.296,4.13,17.8,100,7.392516074,6.338017279,0.441281726,10,28810.48189,10.28357112,115,11.13,21.71,1.2004143
Italy,2014,Italy2014,171.8,3075.431,15.74,83.2,21.578,4.16,18.3,100,7.292111626,6.126170704,0.42410116,10.1,28875.13354,10.36941978,117,11.48,21.44,1.168935197
Italy,2015,Italy2015,171.3,3129.27,15.63,82.6,21.891,4.16,20.2,100,7.35025087,6.584208742,0.448305381,10.1,24511.37283,10.28357112,118,12.35,20.69,1.366562442
Japan,2010,Japan2010,336,3169.521,59.25,82.9,23.024,2.28,52.5,100,7.514453768,4.589357697,0.456897498,11.5,35086.7823,14.59,196.24,5.95,46.08,2.553164458
Japan,2011,Japan2011,338,3740.756,58.89,82.7,23.28,2.32,53.3,100,7.559235341,4.637067868,0.60102142,11.8,38081.33916,14.94,197,5.97,46.65,2.677924674
Japan,2012,Japan2012,340,3970.765,58.73,83.2,24.148,2.36,54.2,100,7.651429197,4.633839075,0.456192928,12,38612.86269,15.35,198,5.88,47.42,2.705373281
Japan,2013,Japan2013,346,4308.252,58.66,83.4,25.057,2.4,54.2,100,7.74483002,4.53877583,0.44419088,12.2,32488.22596,15.72,198,6,48.86,2.719585931
Japan,2014,Japan2014,347,4328.364,58.36,83.7,25.966,2.43,55.4,100,7.820539207,4.468593379,0.437917328,12.5,30650.29064,16.06,199,6.01,50.25,2.683223617
Japan,2015,Japan2015,349,4516.862,58.35,83.9,26.648,3.06,55.8,100,7.880644933,4.406262049,0.433921138,12.5,28057.78392,16.36,200,6.39,50.92,2.74840852
Korea,2010,Korea2010,136.8,1889.883,29.58,80.2,10.829,3.04,48,100,3.976118067,2.127936426,0.459901289,17.7,22608.953,6.44336649,133.35,8.13,86.49,0.663577626
Korea,2011,Korea2011,161.1,1976.809,31.32,80.6,11.044,3.07,51.1,100,3.922030153,2.106389301,0.434871086,17.7,24079.789,6.44336649,134,7.87,89.3,0.707456517
Korea,2012,Korea2012,174.2,2079.906,32.87,80.9,11.488,3.08,56.5,100,4.02889626,2.174249395,0.449682592,17.7,24358.782,6.44336649,135,7.95,86.87,0.812193613
Korea,2013,Korea2013,184.3,2134.998,32.82,81.4,11.943,3.13,61,100,4.085277065,2.097210423,0.434235191,17.8,25890.019,6.44336649,136,7.74,91.92,0.797419844
Korea,2014,Korea2014,201.3,2235.716,34.62,81.8,12.37,3.12,63.2,100,4.125099152,2.102128536,0.412027125,17.81,27811.366,6.44336649,137,7.79,103.5,0.851996976
Korea,2015,Korea2015,209.9,2488.016,35.85,82.1,12.822,3.66,66.8,100,4.107521664,2.139980661,0.406782742,17.81,27105.076,6.44336649,138,7.57,103,0.979948092
Latvia,2010,Latvia2010,147.3,1075.724,20.02,73,18.243,3.28,8.9,93,7.237901933,14.5823823,0.911575739,12.5,8601.764483,10.536248,81.91,8.53,38.43,0.590425672
Latvia,2011,Latvia2011,190.6,1077.558,15.54,73.7,18.466,3.36,9.1,95,7.206673078,14.29717946,0.805454532,12.6,10349.66472,10.536248,82,11.26,79.91,0.657956575
Latvia,2012,Latvia2012,182.4,1156.188,15.73,73.9,18.663,3.39,8.1,96,7.489193388,15.06641439,0.848488346,12.6,10290.37398,10.536248,83,11.5,29.1,0.663630366
Latvia,2013,Latvia2013,190.6,1229.691,15.9,74.1,18.915,3.4,12.7,95,7.501142638,15.19400146,0.82121725,12.7,11348.43025,10.536248,84,13.46,92.66,0.786135165
Latvia,2014,Latvia2014,197.4,1286.477,15.05,74.3,19.227,3.38,13.9,94,7.590428625,15.0884251,0.874857854,12.6,11902.1528,10.536248,85,14.04,27.89,0.662513715
Latvia,2015,Latvia2015,211.1,1405.023,14.66,74.6,19.511,3.36,14.2,95,7.516252991,15.33057818,0.836314055,12.8,10423.15779,10.536248,84,16.18,27.56,0.683249954
Lithuania,2010,Lithuania2010,76,1371.141,26.8,73.3,17.599,4.26,1.5,90.9,6.55160956,14.56822076,1.147367135,11.6,11953.938,14.92471404,57.84,12.62,18.76,0.784538138
Lithuania,2011,Lithuania2011,95.6,1484.753,25.1,73.7,17.976,4.4,1.5,91.4,6.759837882,14.68884763,1.076136052,11.8,14338.44,14.92471404,58,13.44,18.96,0.78228703
Lithuania,2012,Lithuania2012,105.1,1568.003,25.44,74,18.166,4.54,1.5,91.9,6.772780103,15.00911727,1.121638704,11.7,14333.944,14.92471404,59,13.19,15.86,0.795368022
Lithuania,2013,Lithuania2013,120.9,1662.577,25.7,74.1,18.341,4.59,1.5,91.8,6.71959568,15.37195839,1.065646446,11.9,15704.164,14.92471404,60,14.81,16.97,0.956961949
Lithuania,2014,Lithuania2014,125.4,1781.674,24.89,74.7,18.583,4.61,1.5,92,6.943161002,14.92183381,1.036870743,12.6,16534.482,14.92471404,61,14.63,18.28,0.773576239
Lithuania,2015,Lithuania2015,136,1917.586,25.13,74.5,18.858,4.64,1.5,92.4,7.235571476,15.80104763,1.045780899,12.8,14249.115,14.92471404,62,16.39,18.42,0.89892656
Luxembourg,2010,Luxembourg2010,279.8,5622.75,9.86,80.7,13.919,3.06,73,96,5.248313967,4.085120283,0.485991882,11.8,63004.25537,10.94,66.72,11.27,19.92,0.942107213
Luxembourg,2011,Luxembourg2011,288.5,4830.517,9.65,81.1,13.924,3.04,73,97,5.271952337,4.139965614,0.48648015,11.8,66255.24597,11.13,67,11.47,25.08,1.055017193
Luxembourg,2012,Luxembourg2012,293,5207.355,9.42,81.5,13.967,3.07,73,98,5.271952337,3.701988938,0.474418551,11.8,61116.20869,11.19,68,12.33,24.48,0.927306955
Luxembourg,2013,Luxembourg2013,292.6,4759.016,9.2,81.9,14.026,3.08,74,99,4.921430287,3.599366154,0.482274099,11.8,62617.19921,11.13,69,11.38,11.23,0.927306955
Luxembourg,2014,Luxembourg2014,293.3,4809.236,8.99,82.3,14.13,3.13,74,99,4.921430287,3.398340853,0.418425266,12,65253.56929,11.22,69,11.04,12.94,0.824115849
Luxembourg,2015,Luxembourg2015,292.8,4820.829,8.78,82.4,14.202,3.12,74,99,4.751686627,3.286213181,0.428095879,12,55795.44158,11.23,69.132,11.18,12.82,1.019614252
Mexico,2010,Mexico2010,103.5,926.952,18.03,74.1,6.117,3.06,5.8,82.4,1.533797265,2.649597935,0.497826395,8,7362.916552,6.144180557,19.96,11.4,9.51,0.796348554
